case,n,method,scope,status,epsilon,width,degree,residual_upper,distance_upper,bound_upper,construction_seconds,proposal_seconds,total_seconds,certified,pruned,not_certified
frequency_4_asym_0.35_ripple_0,256,polynomial,standard,certified,,6,3,0.0768698829417677,0.004522859590495513,0.08139274253226321,0.009975999942980707,0.0032048000721260905,0.40226140001323074,1,26,3
frequency_4_asym_0.35_ripple_0,256,uncorrected,standard,certified,"[1, 128]",,,0.17656395204591813,0.02445743663680117,0.2010213886827193,0.010037199943326414,0.029180000070482492,0.5829660999588668,1,12,24
frequency_4_asym_0.35_ripple_0,256,corrected,standard,certified,"[9, 512]",,,0.38010729531374904,0.007416290106379916,0.38752358542012894,0.010032600024715066,0.029715299955569208,0.8508771000197157,6,7,24
frequency_4_asym_0.35_ripple_0,1024,polynomial,standard,certified,,9,3,0.018985262246008872,0.000736807530140511,0.019722069776149383,0.039233500021509826,0.004921099985949695,2.746663699974306,9,20,1
frequency_4_asym_0.35_ripple_0,1024,uncorrected,standard,certified,"[7, 2048]",,,0.09092003572525885,0.010581687291550452,0.1015017230168093,0.03918199997860938,0.06392550002783537,4.412621199968271,2,35,0
frequency_4_asym_0.35_ripple_0,1024,corrected,standard,certified,"[1, 128]",,,0.0455094277017052,0.001634646697172617,0.047144074398877814,0.03973809990566224,0.06418730004224926,4.383095099939965,1,36,0
frequency_4_asym_0.35_ripple_0.12,256,polynomial,standard,certified,,4,2,0.544825407867603,0.007887058867535416,0.5527124667351384,0.010332399979233742,0.00293810002040118,0.37426119996234775,3,16,11
frequency_4_asym_0.35_ripple_0.12,256,uncorrected,standard,certified,"[1, 128]",,,0.2940736954044244,0.026633438674437963,0.32070713407886237,0.017209899961017072,0.05011810001451522,0.4517437999602407,1,3,33
frequency_4_asym_0.35_ripple_0.12,256,corrected,standard,certified,"[9, 512]",,,0.6829980575891608,0.012607205525345833,0.6956052631145067,0.010400800034403801,0.0508842000272125,0.47645630000624806,2,0,35
frequency_4_asym_0.35_ripple_0.12,1024,polynomial,standard,certified,,6,2,0.05710174462284809,0.0009620081640041035,0.0580637527868522,0.03998080000746995,0.004646599991247058,1.8648964000167325,2,27,1
frequency_4_asym_0.35_ripple_0.12,1024,uncorrected,standard,certified,"[5, 2048]",,,0.10568918495413826,0.008094745043010453,0.11378392999714872,0.03925219993107021,0.059736100025475025,4.225550699979067,2,33,2
frequency_4_asym_0.35_ripple_0.12,1024,corrected,standard,certified,"[3, 512]",,,0.10412723593505895,0.0017361332731607574,0.1058633692082197,0.04602660005912185,0.05966519995126873,4.446964300004765,3,32,2
skew,64,polynomial,standard,certified,,6,3,0.05529282941765248,0.015263033998426075,0.07055586341607856,0.0027212999993935227,0.001948899938724935,0.09076109994202852,1,29,0
skew,128,polynomial,standard,certified,,6,2,0.028030837202831456,0.0023116054172875166,0.03034244262011897,0.005231700022704899,0.0021474999375641346,0.19745720003265887,2,27,1
skew,512,polynomial,standard,certified,,10,3,0.006937405843648544,0.0012047731497313923,0.008142178993379936,0.01982679998036474,0.0027265999233350158,1.2765116000082344,13,16,1
skew,64,uncorrected,standard,certified,"[5, 128]",,,0.1172332889451455,0.045374453036174746,0.16260774198132025,0.0027526000048965216,0.014342100010253489,0.30422499997075647,1,36,0
skew,128,uncorrected,standard,certified,"[1, 64]",,,0.10360919510134473,0.018482184625935833,0.12209137972728056,0.00525970000308007,0.018146999995224178,0.6260182000696659,3,34,0
skew,256,uncorrected,standard,certified,"[7, 512]",,,0.05023294517195659,0.016010624423751865,0.06624356959570846,0.017647900036536157,0.022145000053569674,1.0479732000967488,1,36,0
skew,512,uncorrected,standard,certified,"[1, 128]",,,0.03667529141606705,0.009172178177571814,0.04584746959363886,0.019669300061650574,0.02969140000641346,1.9854040000354871,3,34,0
skew,1024,uncorrected,standard,certified,"[9, 2048]",,,0.020658162924287245,0.005166640431074917,0.025824803355362164,0.03973789990413934,0.046386900008656085,3.7542290999554098,2,35,0
skew,2048,uncorrected,standard,certified,"[5, 2048]",,,0.010554908400679736,0.0028723628601700197,0.013427271260849756,0.0788214000640437,0.09606439992785454,7.551625200081617,2,35,0
skew,4096,uncorrected,standard,certified,"[13, 8192]",,,0.006019336293917199,0.0018676899860298982,0.007887026279947097,0.15499159996397793,0.20096799999009818,14.61545149993617,2,35,0
